created;text 
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;RT @shawnstockman: Happy birthday to #BTS Jin! 💜@BTS_twt #HappyBirthdayJin #HAPPYJINDAY #SuperTunaByJin
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"RT @Jkkhey7: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;Eu voto pelo #bts (@BTS_twt) em Worldwide Fan's Choice Top 10 no #MAMAVOTE.
12/5/2021 16:11;RT @snbtslove: The weather was cold but my heart was warmed up by this amazing project by @bitchforia @BTSforia_OT7 for Jin💜 #BTS  #BTS_twt…
12/5/2021 16:11;"my valid vote for today

I vote #bts for #MAMAVOTE 2021"
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;"RT @vantesbabyy: RT &amp; REPLY to vote‼️

I vote #bts for Worldwide Fans' Choice Top 10 #MAMAVOTE"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;RT @vminspussy: I vote for #bts  for 2021 #MAMAVOTE
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;"@btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @decalcomania177: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;RT @btsvotingorg: RT to vote #bts for Worldwide Fans' Choice Top 10 #MAMAVOTE.
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"I vote #bts for #MAMAVOTE 
ARMY GLOBAL VOTING PARTY"
12/5/2021 16:11;"RT @jkkswu: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;RT @BTSVotingTroop: Vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;"RT @ayes__7: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;RT @I_am_JKs_Wife: @btsvotingorg I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE
12/5/2021 16:11;RT @GlobalBTSVoting: RT to vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;RT @pinkpinkyoongi: I vote for #bts  for 2021 #MAMAVOTE
12/5/2021 16:11;RT @euphoriaworId: RT to vote #bts  for Worldwide Fans' Choice Top 10 #MAMAVOTE .
12/5/2021 16:11;I vote #bts for #MAMAVOTE 2021
12/5/2021 16:11;I'm voting 🗳 for #bts ￼    for #MAMAVOTE ￼    @BTS_twt
12/5/2021 16:11;"RT @Jayecane: rt fast + which item you want 

maybe giving away, two pair of Vans, $400 Versace shades, #BTS BE deluxe Album, IPhone 11 max…"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"@btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @Jayecane: rt fast + which item you want 

maybe giving away, two pair of Vans, $400 Versace shades, #BTS BE deluxe Album, IPhone 11 max…"
12/5/2021 16:11;June 22, 2021 | Daily Tweet for BTS JIN | Brand Reputation Project | #방탄소년단진 #진 #김석진 #방탄진 #JIN #ジン #BTSJIN #SEOKJIN #BTS @BTS_twt
12/5/2021 16:11;@snowflowergifts I vote #bts  for Worldwide Fan's Choice Top 10 at the #MAMAVOTE  @BTS_twt
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;I vote #MAMAVOTE #bts
12/5/2021 16:11;"RT @JeonSmhh: RT to vote! 🎆

I vote #bts for Worldwide Fans' Choice Top 10 #MAMAVOTE"
12/5/2021 16:11;"RT @btsvotingorg: EXTENDED MASS VOTING STARTS NOW! 💥

Voting has been reset. It means you can use your accounts again. Join us to protect t…"
12/5/2021 16:11;RT @GlobalBTSVoting: RT to vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;RT @pjmsboiola: Eu voto pelo #bts (@BTS_twt) em Worldwide Fan's Choice Top 10 no #MAMAVOTE.
12/5/2021 16:11;@oldiesbts @BTS_twt I vote #BTS   (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @Jayecane: rt fast + which item you want 

maybe giving away, two pair of Vans, $400 Versace shades, #BTS BE deluxe Album, IPhone 11 max…"
12/5/2021 16:11;"mi voto 

I vote #bts   for #MAMAVOTE    2021"
12/5/2021 16:11;"RT @btsvotingorg: EXTENDED MASS VOTING STARTS NOW! 💥

Voting has been reset. It means you can use your accounts again. Join us to protect t…"
12/5/2021 16:11;@Arab_Armys_Vote I vote #bts    for Worldwide Fan's Choice Top 10 at the #MAMAVOTE
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"RT @BTSdailyinfo: [#MMA2021] 211204 @BTS_twt 

Congratulations to BTS for winning 'Legendary Performance: IDOL 2018 stage' at the 2021 Melo…"
12/5/2021 16:11;"@btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
